name,groups,fp32_layer_count,fp32_layers,model_mib,proxy_map50,proxy_map50_95,full_precision,full_recall,full_map50,full_map50_95,map50_95_drop,inference_mean_ms,end_to_end_mean_ms,end_to_end_p50_ms,end_to_end_p95_ms,fps,pareto
fp32,baseline,88,all,9.950313568115234,0.8337857762068814,0.5488885359941472,0.8645324439548421,0.8382020567213593,0.88430029971716,0.5985719276602057,0.0,29.634865000000005,31.308393000000006,28.62675,37.195205,31.94031709005313,True
head_fp32,head,25,conv_65;conv_66;conv_67;conv_68;conv_69;conv_70;conv_71;conv_72;conv_73;conv_74;conv_75;conv_76;conv_77;conv_78;conv_79;conv_80;conv_81;conv_82;conv_83;convdw_183;convdw_184;convdw_185;convdw_186;convdw_187;convdw_188,3.0154800415039062,0.9042980457041336,0.595659617999718,0.8393416828737433,0.7830541318635572,0.8511540945071217,0.5602197088187928,0.03835221884141293,22.435046999999994,25.180387999999997,25.739800000000002,29.582945,39.71344683012828,True
output_fp32,output,7,conv_67;conv_70;conv_73;conv_76;conv_79;conv_82;conv_83,2.9426345825195312,0.90136140743373,0.5913004758794675,0.9163531036931885,0.7315475802536715,0.8446397335064378,0.5516157308596077,0.04695619680059804,20.806884000000004,23.579668000000005,23.104,28.3061,42.40941814787213,True
classification_fp32,classification,15,conv_74;conv_75;conv_76;conv_77;conv_78;conv_79;conv_80;conv_81;conv_82;convdw_183;convdw_184;convdw_185;convdw_186;convdw_187;convdw_188,2.654430389404297,0.9048736769691846,0.6037130385414612,0.8368896235907879,0.7826028683256511,0.8499908499460351,0.5493500941653613,0.049221833494844436,20.050600999999997,23.138168,23.69375,27.417340000000003,43.21863338532247,True
classification_dfl_fp32,classification;dfl,16,conv_74;conv_75;conv_76;conv_77;conv_78;conv_79;conv_80;conv_81;conv_82;conv_83;convdw_183;convdw_184;convdw_185;convdw_186;convdw_187;convdw_188,2.654430389404297,0.9048736769691846,0.6037130385414612,0.8368896235907879,0.7826028683256511,0.8499908499460351,0.5493500941653613,0.049221833494844436,20.563697,23.660802,24.08025,27.43017,42.263994263592586,False
p4_fp32,p4,8,conv_68;conv_69;conv_70;conv_77;conv_78;conv_79;convdw_185;convdw_186,2.9414024353027344,0.9020315381122179,0.6022277358628699,0.9146003580473587,0.7321093264955981,0.8445711220993176,0.5437208448092743,0.05485108285093143,20.974963000000002,24.108775,23.667650000000002,29.368204999999996,41.47867322167966,False
p4_p5_fp32,p4;p5,16,conv_68;conv_69;conv_70;conv_71;conv_72;conv_73;conv_77;conv_78;conv_79;conv_80;conv_81;conv_82;convdw_185;convdw_186;convdw_187;convdw_188,2.9414024353027344,0.9020315381122179,0.6022277358628699,0.9146003580473587,0.7321093264955981,0.8445711220993176,0.5437208448092743,0.05485108285093143,21.634260000000005,25.024378000000002,25.0621,32.26286,39.96103319730864,False
p5_fp32,p5,8,conv_71;conv_72;conv_73;conv_80;conv_81;conv_82;convdw_187;convdw_188,2.8318634033203125,0.9020290817132988,0.6022266705275581,0.9149435003449078,0.7317616213495619,0.8445516732252518,0.5436781786820857,0.05489374897812005,23.590226,25.380461999999998,25.20615,26.504865,39.400386013461855,False
full_int8,,0,,2.6129722595214844,0.8147962647122821,0.4318953629779859,0.8379333195352652,0.7320813725589996,0.8131400410523748,0.44955628116110297,0.14901564649910276,21.124035999999997,23.907377999999994,24.3273,28.760525,41.82809172967442,True
regression_fp32,regression,9,conv_65;conv_66;conv_67;conv_68;conv_69;conv_70;conv_71;conv_72;conv_73,3.012451171875,0.9022542706912676,0.593975233555659,,,,,,,,,,,
dfl_fp32,dfl,1,conv_83,2.6129798889160156,0.8415132597911661,0.5586295961062928,,,,,,,,,,,
regression_dfl_fp32,regression;dfl,10,conv_65;conv_66;conv_67;conv_68;conv_69;conv_70;conv_71;conv_72;conv_73;conv_83,3.012451171875,0.9022542706912676,0.593975233555659,,,,,,,,,,,
p3_fp32,p3,8,conv_65;conv_66;conv_67;conv_74;conv_75;conv_76;convdw_183;convdw_184,3.0154800415039062,0.9042980457041336,0.595659617999718,,,,,,,,,,,
p3_p4_fp32,p3;p4,16,conv_65;conv_66;conv_67;conv_68;conv_69;conv_70;conv_74;conv_75;conv_76;conv_77;conv_78;conv_79;convdw_183;convdw_184;convdw_185;convdw_186,3.0154800415039062,0.9042980457041336,0.595659617999718,,,,,,,,,,,
p3_p5_fp32,p3;p5,16,conv_65;conv_66;conv_67;conv_71;conv_72;conv_73;conv_74;conv_75;conv_76;conv_80;conv_81;conv_82;convdw_183;convdw_184;convdw_187;convdw_188,3.0154800415039062,0.9042980457041336,0.595659617999718,,,,,,,,,,,
p3_output_fp32,p3;output,13,conv_65;conv_66;conv_67;conv_70;conv_73;conv_74;conv_75;conv_76;conv_79;conv_82;conv_83;convdw_183;convdw_184,3.0154800415039062,0.9042980457041336,0.595659617999718,,,,,,,,,,,
